,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
808,1750.0,3,3.0,Semi-Furnished,other,1.0,6500000,Ready_to_move,New_Property,Builder_Floor
818,1300.0,3,3.0,Semi-Furnished,other,2.0,7000000,Ready_to_move,New_Property,Builder_Floor
820,1675.0,4,3.0,Furnished,other,2.0,13500000,Ready_to_move,Resale,Builder_Floor
822,1080.0,3,3.0,Unfurnished,other,5.0,6000000,Ready_to_move,New_Property,Apartment
824,1250.0,3,2.0,Semi-Furnished,other,1.0,6500000,Ready_to_move,Resale,Apartment
829,1044.0983,3,2.0,Unfurnished,other,1.0,6000000,Ready_to_move,Resale,Builder_Floor
842,1100.0,3,2.0,Unfurnished,other,1.0,6500000,Ready_to_move,New_Property,Apartment
844,1000.0,2,2.0,Semi-Furnished,other,1.0,6500000,Ready_to_move,Resale,Builder_Floor
847,600.0,2,2.0,Semi-Furnished,other,1.0,3000000,Ready_to_move,New_Property,Apartment
848,950.0,3,2.0,Furnished,other,1.0,6000000,Ready_to_move,New_Property,Builder_Floor
853,950.0,3,2.0,Unfurnished,other,1.0,5000000,Ready_to_move,Resale,Builder_Floor
856,600.0,2,1.0,Semi-Furnished,other,1.0,3000000,Ready_to_move,Resale,Apartment
859,945.0,3,2.0,Semi-Furnished,other,1.0,5500000,Ready_to_move,Resale,Apartment
887,437.0,1,1.0,Furnished,other,1.0,3500000,Ready_to_move,New_Property,Apartment
897,990.0,3,2.0,Furnished,other,1.0,5000000,Ready_to_move,Resale,Builder_Floor
909,800.0,2,2.0,Semi-Furnished,other,1.0,12000000,Ready_to_move,New_Property,Builder_Floor
915,900.0,2,3.0,Semi-Furnished,other,2.0,12500000,Ready_to_move,Resale,Builder_Floor
924,1290.0,3,2.0,Semi-Furnished,other,2.0,20000000,Ready_to_move,Resale,Builder_Floor
926,1350.0,3,3.0,Semi-Furnished,other,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
927,1400.0,3,3.0,Semi-Furnished,other,1.0,30000000,Ready_to_move,New_Property,Builder_Floor
928,1700.0,3,3.0,Unfurnished,other,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
931,1500.0,4,1.0,Unfurnished,other,1.935562805872757,12500000,Ready_to_move,Resale,Apartment
932,400.0,1,1.0,Semi-Furnished,other,1.0,3500000,Ready_to_move,Resale,Apartment
933,650.0,2,2.0,Unfurnished,other,1.0,6500000,Ready_to_move,Resale,Builder_Floor
936,900.0,3,2.0,Semi-Furnished,other,2.0,13500000,Ready_to_move,Resale,Apartment
942,750.0,2,1.0,Semi-Furnished,other,2.0,6500000,Ready_to_move,New_Property,Apartment
945,1800.0,3,3.0,Semi-Furnished,other,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
946,1080.0,3,1.0,Unfurnished,other,1.0,7000000,Ready_to_move,New_Property,Apartment
951,350.0,1,1.0,Unfurnished,other,1.0,3000000,Ready_to_move,Resale,Apartment
